"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81"
267.7108 269.6143 271.5677 273.5724 275.63 277.742 279.9099 282.1352 284.4193 286.7635 289.1693 291.6377 294.1699 296.7668 299.429 302.1569 304.9506 307.8098 310.7335 313.7204 316.7682 319.874 323.0336 326.2418 329.4918 332.7752 336.0814 339.3977 342.7086 345.9953 349.2355 352.4025 355.465 358.3863 361.1236 363.6275 365.8414 367.7008 369.1334 370.0585 370.3879 370.0262 368.8725 366.8223 363.7709 359.6174 354.2697 347.6501 339.7021 330.3969 319.7393 307.7729 294.5827 280.2954 265.0768 249.1258 232.6654 215.9323 199.1649 182.5919 166.4221 150.8366 135.9833 121.9744 108.8871 96.7648 85.6218 75.4472 66.2102 57.8647 50.3542 43.6154 37.5817 32.1864 27.3645 23.0549 19.2023 15.7588 12.6863 9.9583 7.5631
258.6611 260.6714 262.7365 264.8582 267.0383 269.2786 271.5808 273.9469 276.3786 278.8776 281.4456 284.0843 286.795 289.579 292.4375 295.3712 298.3806 301.4657 304.6259 307.8603 311.1668 314.5425 317.9835 321.4843 325.0381 328.6359 332.2664 335.9159 339.5673 343.2 346.7891 350.3048 353.7118 356.9684 360.026 362.8282 365.3099 367.3974 369.0076 370.0483 370.4185 370.0102 368.7097 366.4013 362.971 358.3122 352.3317 344.9571 336.1443 325.8848 314.2115 301.2027 286.9834 271.7227 255.6276 238.934 221.8944 204.7651 187.7935 171.2058 155.1988 139.9335 125.5325 112.0798 99.6236 88.1802 77.7393 68.2692 59.722 52.0389 45.1541 38.9986 33.503 28.5997 24.2252 20.3213 16.8367 13.7287 10.9649 8.5249 6.4031
248.9818 251.0892 253.2566 255.4861 257.7797 260.1398 262.5684 265.0678 267.6402 270.2877 273.0126 275.8169 278.7026 281.6714 284.725 287.8647 291.0916 294.4062 297.8085 301.2979 304.8728 308.5309 312.2682 316.0796 319.9581 323.8943 327.8766 331.89 335.9162 339.9323 343.9108 347.8184 351.6151 355.2537 358.6783 361.8243 364.6167 366.9703 368.789 369.9663 370.3861 369.9248 368.454 365.8447 361.9732 356.7278 350.017 341.7782 331.9861 320.6604 307.8714 293.7413 278.4433 262.1943 245.2459 227.8699 210.3444 192.9386 175.8996 159.4421 143.7417 128.9317 115.1033 102.3088 90.5657 79.8631 70.1671 61.4272 53.5813 46.5605 40.2923 34.7045 29.7269 25.2932 21.3427 17.8213 14.683 11.8906 9.4178 7.2505 5.3881
241.1235 243.3167 245.5742 247.8982 250.2911 252.7553 255.2934 257.9078 260.6011 263.3758 266.2344 269.1793 272.2129 275.3374 278.5548 281.8667 285.2748 288.7798 292.3823 296.0819 299.8774 303.7666 307.7459 311.8102 315.9522 320.1626 324.4291 328.7359 333.0634 337.3873 341.6779 345.8989 350.0067 353.9496 357.6663 361.0854 364.124 366.6879 368.6708 369.9549 370.4125 369.908 368.3019 365.4558 361.2393 355.5386 348.2651 339.3661 328.8333 316.7104 303.0976 288.1519 272.0824 255.1407 237.6084 219.7806 201.9495 184.3891 167.3423 151.0121 135.5567 121.0885 107.6767 95.3516 84.1108 73.9256 64.7476 56.5149 49.1566 42.5978 36.7626 31.5767 26.9695 22.8758 19.2368 16.0007 13.1245 10.5745 8.3275 6.3721 4.7092
233.2501 235.5211 237.8604 240.2707 242.7545 245.3147 247.9541 250.6754 253.4815 256.3753 259.3598 262.4377 265.6118 268.8847 272.2589 275.7367 279.3199 283.0099 286.8076 290.7131 294.7256 298.8434 303.063 307.3794 311.7855 316.2717 320.8253 325.4298 330.0645 334.7035 339.3147 343.8589 348.2889 352.5481 356.5694 360.274 363.5709 366.356 368.512 369.9092 370.4074 369.8586 368.1118 365.0195 360.4457 354.2756 346.4267 336.8589 325.5844 312.6749 298.2638 282.5445 265.7628 248.2037 230.1758 211.9925 193.9547 176.3354 159.368 143.2395 128.0877 114.0028 101.0314 89.1829 78.4365 68.7482 60.0573 52.2927 45.3773 39.2321 33.7791 28.9437 24.6561 20.8529 17.4774 14.4812 11.8243 9.4764 7.4176 5.6394 4.1441
225.2203 227.5601 229.9724 232.46 235.026 237.6733 240.4052 243.2247 246.1352 249.1399 252.2422 255.4454 258.7527 262.1673 265.6921 269.33 273.0833 276.9541 280.9438 285.0532 289.2819 293.6286 298.0905 302.6627 307.3384 312.1079 316.9582 321.8722 326.8282 331.7986 336.749 341.6373 346.4122 351.0116 355.3622 359.3771 362.9559 365.9833 368.3297 369.8517 370.3949 369.7974 367.8956 364.5322 359.5659 352.8828 344.4085 334.1199 322.0547 308.3174 293.08 276.5765 259.0916 240.944 222.4675 203.9904 185.8175 168.2154 151.4029 135.5467 120.7608 107.1111 94.6207 83.2781 73.0447 63.8623 55.6593 48.3569 41.8731 36.1261 31.0373 26.5326 22.5438 19.0099 15.8773 13.101 10.6446 8.4815 6.5953 4.9802 3.6399
216.9107 219.3094 221.7848 224.3399 226.9782 229.7029 232.5177 235.4261 238.4317 241.5384 244.7501 248.0704 251.5033 255.0525 258.7216 262.5141 266.4331 270.4814 274.6611 278.9738 283.4198 287.9985 292.7077 297.5432 302.4984 307.5639 312.7266 317.969 323.2684 328.5957 333.9141 339.1783 344.3323 349.3085 354.0259 358.3885 362.2847 365.5863 368.1488 369.8127 370.4066 369.7522 367.6714 363.9958 358.5791 351.31 342.1262 331.0269 318.0823 303.4375 287.31 269.9804 251.776 233.0501 214.1599 195.4444 177.2067 159.701 143.1257 127.6217 113.2758 100.1265 88.1725 77.3808 67.6954 59.0444 51.347 44.5177 38.4708 33.1232 28.3963 24.2177 20.5216 17.2502 14.3535 11.7903 9.5283 7.5447 5.8266 4.3709 3.1819
208.797 211.246 213.7755 216.3891 219.0903 221.8829 224.7708 227.7579 230.8485 234.0468 237.3571 240.7838 244.3313 248.004 251.8063 255.7422 259.8157 264.0303 268.389 272.894 277.5467 282.3473 287.2942 292.3839 297.6105 302.9648 308.4339 314 319.6395 325.3219 331.0085 336.6504 342.1873 347.5456 352.6366 357.3549 361.5771 365.1612 367.947 369.7579 370.4048 369.6921 367.4268 363.4301 357.5518 349.6853 339.7837 327.8724 314.0579 298.5289 281.5506 263.4498 244.594 225.3672 206.1443 187.2691 169.0374 151.6867 135.392 120.2674 106.3726 93.7206 82.2875 72.0215 62.8519 54.696 47.4654 41.0699 35.4217 30.4371 26.0386 22.1556 18.725 15.6922 13.0106 10.6425 8.5591 6.7408 5.1775 3.8672 2.8139
201.8326 204.3291 206.9097 209.5781 212.338 215.1936 218.149 221.2087 224.3771 227.6588 231.0587 234.5815 238.2321 242.0155 245.9366 249.9999 254.2101 258.5713 263.0871 267.7604 272.5933 277.5865 282.739 288.0479 293.5077 299.1094 304.8401 310.6816 316.6099 322.593 328.5902 334.5501 340.4085 346.0868 351.49 356.5045 360.9974 364.8153 367.7853 369.7171 370.4072 369.6469 367.2321 362.977 356.73 348.391 337.9276 325.3885 310.9106 294.7182 277.1133 258.4571 239.1456 219.5821 200.1512 181.1964 163.0047 145.7985 129.7338 114.9047 101.3511 89.0681 78.0163 68.1317 59.3341 51.534 44.6382 38.5541 33.1926 28.4702 24.3099 20.6428 17.4077 14.552 12.0314 9.8103 7.8623 6.1696 4.7232 3.5216 2.5677
194.8839 197.4205 200.0445 202.7598 205.5706 208.4812 211.4961 214.6202 217.8581 221.2151 224.6963 228.307 232.0527 235.9388 239.9707 244.1539 248.4935 252.9942 257.6606 262.4963 267.504 272.6852 278.0397 283.5652 289.2567 295.1057 301.0994 307.2195 313.4413 319.7317 326.0483 332.3367 338.5289 344.5411 350.2714 355.5976 360.3765 364.4423 367.6081 369.6686 370.4049 369.5941 367.0203 362.491 355.8544 347.0184 335.9685 322.78 307.624 290.7635 272.5392 253.3475 233.6114 213.7515 194.1586 175.1719 157.0664 140.0464 124.2473 109.7417 96.5495 84.648 73.9833 64.4799 56.0491 48.5955 42.0225 36.2355 31.1451 26.6683 22.7297 19.2618 16.2059 13.5115 11.137 9.0492 7.2237 5.645 4.3054 3.2037 2.3418
187.8643 190.4326 193.0915 195.8451 198.6979 201.6546 204.7201 207.8994 211.1978 214.6209 218.1744 221.864 225.6958 229.6758 233.8102 238.105 242.5662 247.1993 252.0097 257.0018 262.1794 267.5448 273.0988 278.8399 284.7638 290.8626 297.124 303.5298 310.0547 316.6649 323.316 329.9508 336.4974 342.8663 348.948 354.6113 359.7009 364.0373 367.4177 369.6196 370.4068 369.54 366.7905 361.9583 354.8924 345.5116 333.8225 319.9324 304.0518 286.4872 267.622 247.8892 227.7393 207.6079 187.8887 168.9131 150.9399 134.1522 118.6619 104.5187 91.721 80.2282 69.972 60.8658 52.8129 45.713 39.4664 33.9775 29.1571 24.9231 21.202 17.9287 15.0469 12.5088 10.2755 8.3163 6.6096 5.1417 3.9063 2.9025 2.1307
180.6766 183.2669 185.9507 188.7326 191.6173 194.6098 197.7154 200.9394 204.2878 207.7664 211.3815 215.1395 219.047 223.1108 227.3377 231.7346 236.3084 241.0655 246.0123 251.1543 256.4964 262.0419 267.7929 273.749 279.907 286.26 292.7961 299.4977 306.3394 313.2867 320.2934 327.2997 334.2292 340.9866 347.4542 353.4899 358.9252 363.5645 367.1867 369.5488 370.3941 369.4644 366.5159 361.3408 353.7899 343.7958 331.3922 316.7245 300.0504 281.7265 262.1838 241.8949 221.3372 200.9592 181.1535 162.239 144.4534 127.9545 112.8275 99.0965 86.7378 75.692 65.8761 57.193 49.5387 42.8083 36.9001 31.7179 27.1733 23.1862 19.6851 16.6079 13.9008 11.5194 9.4275 7.5976 6.0103 4.6541 3.5238 2.6184 1.9361
173.6852 176.2911 178.9933 181.7967 184.7062 187.7272 190.8653 194.1264 197.5166 201.0425 204.7107 208.5283 212.5025 216.6409 220.9509 225.4404 230.1171 234.9884 240.0618 245.3439 250.8407 256.5569 262.4957 268.6581 275.042 281.6416 288.4461 295.4382 302.5929 309.8749 317.2367 324.6158 331.9317 339.0829 345.9434 352.3599 358.15 363.101 366.9723 369.4995 370.4042 369.4081 366.2525 360.7222 352.6719 342.051 328.9237 313.4777 296.0206 276.9608 256.7766 235.9773 215.0636 194.492 174.6494 155.8383 138.273 122.0847 107.3319 94.0145 82.0875 71.4751 62.0814 53.8002 46.5217 40.1378 34.5453 29.6485 25.3601 21.6017 18.3047 15.4092 12.8648 10.6294 8.6697 6.9607 5.4853 4.2333 3.2002 2.384 1.7808
167.685 170.309 173.032 175.8589 178.795 181.846 185.0176 188.3162 191.7483 195.3208 199.0408 202.9158 206.9537 211.1623 215.5501 220.1253 224.8964 229.8717 235.0594 240.467 246.1014 251.9684 258.0721 264.4142 270.9938 277.8057 284.8398 292.0791 299.4985 307.0621 314.7212 322.4108 330.047 337.5231 344.706 351.4336 357.5121 362.7154 366.7872 369.4468 370.3992 369.3516 366.0351 360.231 351.7993 340.7054 327.0391 311.0223 293.0008 273.4213 252.7951 231.6558 210.517 189.8377 169.9972 151.2839 133.894 117.9391 103.4593 90.4378 78.816 68.5071 59.4075 51.4055 44.3878 38.2446 32.8722 28.1751 24.0669 20.4709 17.3196 14.5553 12.1291 10.0007 8.1386 6.5191 5.1261 3.9502 2.9868 2.2333 1.6837
161.7394 164.3755 167.1128 169.9567 172.9127 175.9867 179.1849 182.5138 185.9804 189.592 193.3562 197.2809 201.3745 205.6456 210.1032 214.7562 219.6139 224.6855 229.98 235.506 241.2712 247.2827 253.5454 260.0624 266.8337 273.855 281.1172 288.6037 296.2895 304.1384 312.1004 320.1083 328.0746 335.8873 343.4062 350.4594 356.8411 362.3105 366.5945 369.3944 370.3973 369.2948 365.8072 359.7125 350.8778 339.2865 325.0577 308.4505 289.8525 269.7504 248.6891 227.2256 205.8847 185.1247 165.3152 146.7279 129.5389 113.8395 99.6502 86.9378 75.63 65.6299 56.8264 49.1029 42.3432 36.4363 31.2783 26.7744 22.8394 19.3983 16.3855 13.745 11.4299 9.4019 7.6312 6.0955 4.7801 3.6764 2.7798 2.0867 1.5895
155.7898 158.4309 161.1755 164.029 166.9974 170.0866 173.3034 176.6545 180.1473 183.7895 187.5892 191.5548 195.6953 200.02 204.5384 209.2603 214.1959 219.3552 224.7482 230.3845 236.2733 242.4224 248.8383 255.5254 262.4848 269.7136 277.2035 284.9391 292.8955 301.0366 309.3111 317.65 325.9621 334.1299 342.0055 349.4067 356.1141 361.871 366.3854 369.3381 370.3962 369.2335 365.5583 359.1456 349.8709 337.7391 322.9026 305.6633 286.4546 265.8071 244.3009 222.5163 200.9876 180.1701 160.4201 141.9899 125.0333 109.6191 95.7475 83.3678 72.3942 62.7193 54.225 46.79 40.2959 34.6306 29.6904 25.3817 21.6209 18.3346 15.4596 12.9419 10.7367 8.8079 7.1275 5.675 4.4369 3.4054 2.576 1.9438 1.4991
149.7847 152.423 155.1668 158.0217 160.9938 164.0896 167.3159 170.6801 174.1897 177.8529 181.6783 185.6749 189.8523 194.2204 198.7895 203.5703 208.5738 213.811 219.2931 225.0309 231.0348 237.3141 243.8769 250.7289 257.8729 265.3077 273.0261 281.0141 289.2476 297.6906 306.2913 314.9787 323.6579 332.206 340.4666 348.2462 355.3104 361.3841 366.1537 369.2766 370.3962 369.166 365.2805 358.5114 348.7447 336.0111 320.5027 302.5705 282.7006 261.4718 239.5023 217.3954 195.693 174.8438 155.1874 136.9528 120.2684 105.178 91.66 79.6454 69.0343 59.7089 51.5441 44.4146 38.1997 32.7868 28.0731 23.9663 20.3847 17.2573 14.5231 12.1307 10.0376 8.2099 6.6216 5.2542 4.0955 3.1382 2.3774 1.8071 1.4147
143.6809 146.3078 149.0418 151.889 154.8555 157.9481 161.174 164.5409 168.0568 171.7302 175.5704 179.5869 183.7898 188.1899 192.7983 197.6265 202.6865 207.9906 213.551 219.3801 225.4897 231.8909 238.5932 245.6045 252.9294 260.5686 268.5169 276.7619 285.2809 294.0384 302.9825 312.0404 321.1141 330.0745 338.7563 346.9532 354.414 360.8422 365.8991 369.2143 370.4035 369.0959 364.9699 357.7942 347.4684 334.0547 317.7929 299.0923 278.4997 256.6479 234.1956 211.7685 189.9132 169.0672 149.5482 131.5575 115.1942 100.4747 87.3534 75.7424 65.5271 56.5796 48.7681 41.9635 36.0437 30.8961 26.4192 22.5224 19.1266 16.1634 13.5745 11.311 9.3332 7.6097 6.1165 4.837 3.7601 2.879 2.1882 1.6798 1.3387
138.5503 141.1736 143.9057 146.7528 149.7214 152.8185 156.0516 159.4285 162.9577 166.6482 170.5095 174.5517 178.7854 183.2219 187.8729 192.7508 197.8683 203.2384 208.8746 214.79 220.9976 227.5097 234.3373 241.4893 248.9719 256.787 264.9307 273.3916 282.1478 291.164 300.3877 309.7447 319.1336 328.4206 337.4332 345.9551 353.7221 360.4217 365.6968 369.1569 370.3984 369.0347 364.7348 357.2684 346.5481 332.6619 315.8859 296.6711 275.6058 253.3579 230.6098 207.9986 186.0698 165.2506 145.8419 128.0256 111.8816 97.409 84.5476 73.1979 63.2372 54.532 46.9467 40.3506 34.6207 29.645 25.3224 21.564 18.2918 15.4391 12.949 10.7744 8.8767 7.2259 5.7991 4.5803 3.559 2.7283 2.082 1.6112 1.2996
